identifier,lines
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","a similar footing, ensuring a durable downward trajectory of inflation towards the 4"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",per cent target backed by this approach is the best way to address the transition
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","challenges. Instead of haste for policy action, patience is the need of the hour."
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Hence, I vote for status quo on rate and stance in this policy."
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Statement by Dr. Michael Debabrata Patra
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",48.     Recent inflation prints and high frequency data on salient food prices indicate
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",that food inflation risks remain elevated. A relatively shallow and short-lived winter
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","trough is giving way to a build-up of price momentum as summer sets in, with"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",forecasts of rising temperatures up to May 2024. Some global food prices are firming
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",up in an environment of rising input costs and supply chain pressures. The headroom
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",provided by the steady core disinflation and fuel price deflation does not assure a
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","faster alignment of the headline with the target. Consequently, headline inflation can"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",be expected to remain in the upper reaches of the tolerance band until favourable
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","base effects come into play in the second quarter of 2024-25. Hence, conditions are"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",not yet in place for any let-up in the restrictive stance of monetary policy. Downward
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",pressure on inflation must be maintained until a better balance of risks becomes
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",evident and the layers of uncertainty clouding the near-term clear away. In the
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","interregnum, the commitment to enduringly aligning inflation with the target of 4 per"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","cent needs to be emphasised. Stabilising inflation expectations is progressing, as"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",reflected in forward-looking surveys; anchoring them is crucial for achieving the
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",inflation target.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","49.    Domestic demand is expanding, and the output gap has closed. The"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","investment outlook is improving; however, a stronger revival in private consumption"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",and in corporate sales growth may await greater confidence that inflation is declining.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","The recent improvement in export performance, if sustained, will ease the drag on"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",aggregate demand.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","50.     Supply responses are also improving, but they will be contingent on a normal"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",monsoon; an upturn in the private investment cycle to boost manufacturing sales and
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",ease capacity constraints; and on sustaining the trend growth of services. The
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","external balance sheet is strong, with a modest current account deficit, ebullient"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",capital flows and rising foreign exchange reserves. This should insulate domestic
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",economic activity from global spillovers in response to regime shifts in monetary
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",policy stances of systemic central banks that are either underway or imminent.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Nevertheless, financial stability risks to macroeconomic outcomes in India have to be"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","closely and continuously monitored, and pre-emptively headed off. Overall, price"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",stability has to be restored in order to ensure that the rising growth trajectory that
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",India is embarking upon is sustained.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","51.    Accordingly, I vote for status quo on the policy rate and for perseverance with"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",the stance of withdrawal of accommodation.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Statement by Shri Shaktikanta Das
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",52.    The Indian economy is growing at a robust pace with an average annual
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",growth of 8 per cent during the last three years. India continues to be the fastest
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","growing major economy in the world, supported by an upturn in investment cycle and"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",revival in manufacturing. Services sector continues to grow at a strong pace.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",11
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",53.    CPI headline inflation during January-February 2024 (5.1 per cent in each of
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",the months) has moderated from the elevated level seen in December 2023 (5.7 per
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",cent). The persistent and broad-based softening in CPI core inflation (CPI excluding
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","food and fuel inflation) by 180 bps since June 2023 is driving the disinflation process,"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",though volatile and elevated food inflation is disrupting its pace.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","54.     Looking ahead, the baseline projections show inflation moderating to 4.5 per"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",cent in 2024-25 from 5.4 per cent in 2023-24 and 6.7 per cent in 2022-23. This
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",success in the disinflation process should not distract us from the vulnerability of the
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","inflation trajectory to the frequent incidences of supply side shocks, especially to food"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",inflation due to adverse weather events and other factors. Overlapping food price
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","shocks, apart from imparting volatility to headline inflation, may also result in"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",spillovers to core inflation. Lingering geo-political tensions and their impact on
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",commodity prices and supply chains are also adding to uncertainties in the inflation
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",trajectory. These considerations call for monetary policy actions to tread the last mile
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",of disinflation with extreme care.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",55.     The growth prospects of the Indian economy in 2024-25 look bright.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Expectations of normal southwest monsoon in 2024 augur well for the agricultural
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","sector and rural demand. Strengthening rural demand, along with rising consumer"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","confidence and optimism on employment and income, are expected to boost private"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",consumption. Prospects of the manufacturing and services sectors also remain
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","bright. Upbeat business outlook of firms, healthy corporate and bank balance sheets,"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",upturn in private capex cycle with capacity utilisation ruling above the long period
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",average can be expected to give further boost to domestic investment activity.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Improving global growth and international trade prospects may provide thrust to
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",external demand.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","56.     Given these growth inflation dynamics, I believe that the extant monetary"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",policy setting is well positioned. Market expectations are also closely aligned with that
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",of the MPC. Monetary policy transmission is continuing and inflation expectations of
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","households are also getting further anchored. At this stage, we should stay the"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",course and remain vigilant. The gains in disinflation achieved over last two years
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",have to be preserved and taken forward towards aligning the headline inflation to the
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","4 per cent target on a durable basis. The strong growth momentum, together with our"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","GDP projections for 2024-25, give us the policy space to unwaveringly focus on price"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",stability. Price stability is our mandated goal and it sets strong foundations for a
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","period of high growth. Accordingly, I vote to keep the policy repo rate unchanged and"
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",continue with the focus on withdrawal of accommodation.
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",(Yogesh Dayal)
"Minutes of the Monetary Policy Committee Meeting, April 3 to 5, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Press Release: 2024-2025/138                                    Chief General Manager
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","2. The meeting was attended by all the members – Dr. Shashanka Bhide, Honorary"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Senior Advisor, National Council of Applied Economic Research, Delhi; Dr. Ashima"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Goyal, Emeritus Professor, Indira Gandhi Institute of Development Research, Mumbai;"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Prof. Jayanth R. Varma, Professor, Indian Institute of Management, Ahmedabad; Dr."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Rajiv Ranjan, Executive Director (the officer of the Reserve Bank nominated by the"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Central Board under Section 45ZB(2)(c) of the Reserve Bank of India Act, 1934); Dr."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Michael Debabrata Patra, Deputy Governor in charge of monetary policy – and was"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","chaired by Shri Shaktikanta Das, Governor."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","3. According to Section 45ZL of the Reserve Bank of India Act, 1934, the Reserve Bank"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","shall publish, on the fourteenth day after every meeting of the Monetary Policy"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Committee, the minutes of the proceedings of the meeting which shall include the"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","following, namely:"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",a) the resolution adopted at the meeting of the Monetary Policy Committee;
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","b) the vote of each member of the Monetary Policy Committee, ascribed to such"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","member, on the resolution adopted in the said meeting; and"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",c) the statement of each member of the Monetary Policy Committee under sub-
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",section (11) of section 45ZI on the resolution adopted in the said meeting.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",4. The MPC reviewed the surveys conducted by the Reserve Bank to gauge consumer
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","confidence, households’ inflation expectations, corporate sector performance, credit"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","conditions, the outlook for the industrial, services and infrastructure sectors, and the"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",projections of professional forecasters. The MPC also reviewed in detail the staff’s
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","macroeconomic projections, and alternative scenarios around various risks to the"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",outlook. Drawing on the above and after extensive discussions on the stance of
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","monetary policy, the MPC adopted the resolution that is set out below."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Resolution
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","5. On the basis of an assessment of the current and evolving macroeconomic situation,"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","the Monetary Policy Committee (MPC) at its meeting today (February 8, 2024) decided"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",to:
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]", Keep the policy repo rate under the liquidity adjustment facility (LAF) unchanged
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",at 6.50 per cent.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","Consequently, the standing deposit facility (SDF) rate remains unchanged at 6.25"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",per cent and the marginal standing facility (MSF) rate and the Bank Rate at 6.75 per
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",cent.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",   The MPC also decided to remain focused on withdrawal of accommodation to
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","ensure that inflation progressively aligns to the target, while supporting growth."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",These decisions are in consonance with the objective of achieving the medium-term
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",target for consumer price index (CPI) inflation of 4 per cent within a band of +/- 2 per
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","cent, while supporting growth."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",Assessment and Outlook
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",6. Global growth is likely to remain steady in 2024 after a surprisingly resilient
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",performance in a turbulent year gone by. Inflation is edging down from multi-decade
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","highs, with intermittent upticks. Financial market sentiments have been fluctuating with"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",changing views about an early pivot by central banks in advanced economies (AEs). The
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","likelihood of lower interest rates has spurred rallies in equity markets, although"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",uncertainty about the timing of interest rate reduction is reflected in bidirectional
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",movements in the US dollar and sovereign bond yields. Emerging market economies
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",(EMEs) are facing currency fluctuations amidst volatile capital flows.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",7. Domestic economic activity is strengthening. As per the first advance estimates (FAE)
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","released by the National Statistical Office (NSO), real gross domestic product (GDP) is"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","expected to grow by 7.3 per cent, year-on-year (y-o-y) in 2023-24, underpinned by strong"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","investment activity. On the supply side, gross value added (GVA) expanded by 6.9 per"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","cent in 2023-24, with manufacturing and services sectors as the key drivers."
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","8. Looking ahead, recovery in rabi sowing, sustained profitability in manufacturing and"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",underlying resilience of services should support economic activity in 2024-25. Among the
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","key drivers on demand side, household consumption is expected to improve, while"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","prospects of fixed investment remain bright owing to upturn in the private capex cycle,"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","improved business sentiments, healthy balance sheets of banks and corporates; and"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",government’s continued thrust on capital expenditure. Improving outlook for global trade
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",and rising integration in global supply chain will support net external demand. Headwinds
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","from geopolitical tensions, volatility in international financial markets and geoeconomic"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","fragmentation, however, pose risks to the outlook. Taking all these factors into"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","consideration, real GDP growth for 2024-25 is projected at 7.0 per cent with Q1 at 7.2"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",per cent; Q2 at 6.8 per cent; Q3 at 7.0 per cent; and Q4 at 6.9 per cent (Chart 1). The
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",risks are evenly balanced.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","9. From its October 2023 trough of 4.9 per cent, CPI inflation increased successively in"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","the next two months to 5.7 per cent by December. Food inflation, primarily y-o-y"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","vegetable price increases, drove the pick-up in headline inflation, even as deflation in"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",fuel deepened. Core inflation (CPI inflation excluding food and fuel) softened to a four-
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",year low of 3.8 per cent in December.
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","10. Going forward, the inflation trajectory would be shaped by the evolving food inflation"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",outlook. Rabi sowing has surpassed last year’s level. The usual seasonal correction in
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]","vegetable prices is continuing, though unevenly. Yet considerable uncertainty prevails on"
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",the food price outlook from the possibility of adverse weather events. Effective supply
"Minutes of the Monetary Policy Committee Meeting, February 6 to 8, 2024 [Under Section 45ZL of the Reserve Bank of India Act, 1934]",side responses may keep food price pressures under check. The continuing pass-
