"","identifier","lines"
"1224","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Statement by Dr. Nagesh Kumar"
"1225","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1226","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","17. The external context for economic development has changed dramatically since"
"1227","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the August MPC. While the growth rate of 7.8% in the first quarter of the current fiscal"
"1228","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","year was impressive, exceeding expectations, leading to an upward revision of"
"1229","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","projections for the year, to 6.8% from 6.5%, it does not factor in the shock that India"
"1230","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","has faced after the first quarter. Hence, the economic growth trajectory and projection"
"1231","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","suffer from possible discontinuities. The acceleration in first-quarter growth has been"
"1232","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","underpinned by consumption, especially rural consumption, and front-loading of"
"1233","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","government capex. Private investment has continued to remain sluggish, despite"
"1234","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","healthy growth of profits and profit margins, and capacity utilisation rates staying above"
"1235","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the 75% level, perhaps due to the trade policy uncertainties. Hence, there is no room"
"1236","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","for complacency as the future looks uncertain because of external shocks."
"1237","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1238","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","18. In particular, the Trump Administration has delivered a comprehensive assault on"
"1239","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","India with successive announcements over the past few weeks. Before we could"
"1240","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","absorb the 25+25% reciprocal and penal tariffs on goods that became effective from"
"1241","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the end of August, a hefty $100,000 fee was imposed on H1B visas. There are also"
"1242","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","other measures, including the proposed HIRE Act on outsourcing, the 100% tax on"
"1243","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","patented pharmaceuticals, among others which may affect India’s economic"
"1244","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","prospects."
"1245","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1246","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","19. The trade policy measures adopted by the US, India’s biggest trade partner and"
"1247","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","biggest market for exports of goods and services, pose challenges for the economy."
"1248","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","While the effect on the economic growth rate may be limited to between 40-60 bps, a"
"1249","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","larger effect is expected on MSMEs and jobs. This is because the US is a much more"
"1250","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","important market for our labour-intensive goods than for all imports. The US accounts"
"1251","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","for nearly 20% of India’s merchandise exports, but our exposure to the US market is"
"1252","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","far greater at 33% for labour-intensive goods such as textiles and garments, leather"
"1253","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","goods, gems & jewellery, processed food products like shrimp. These are also the"
"1254","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","sectors that are dominated by MSMEs and account for a disproportionately larger"
"1255","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","share (around 40%) of jobs in the manufacturing sector. Therefore, high penal tariffs"
"1256","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","imposed by the US on India have the prospect of affecting MSMEs and the jobs in a"
"1257","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","significant manner."
"1258","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1259","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","                                             5"
"1260","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1261","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1262","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","20. In that context, diversification of export markets is the need of the hour, besides"
"1263","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","exploiting the domestic demand better. The Government has undertaken GST reforms"
"1264","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","that should help in charging the domestic consumption engine. Diversification of export"
"1265","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","markets beyond the US is also critical. In that context, the recent signing of the UK-"
"1266","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","India FTA and the India-EFTA Economic and Trade Agreement that became effective"
"1267","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","on October 1, 2025, are important developments. The negotiations of the India-EU"
"1268","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","FTA have been expedited, and new ones have been planned with the Eurasian"
"1269","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Economic Community. We should also tap the potential of existing FTAs with Japan,"
"1270","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the Republic of Korea, Australia and the UAE more effectively, for the export of labour-"
"1271","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","intensive goods, helping to reduce our dependence on the US market. We should also"
"1272","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","move up the value chain in these sectors by building and acquiring globally known"
"1273","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","brands, retail chains, and technological upgradation."
"1274","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1275","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","21. On the monetary policy front, a pre-emptive action would be important to contain"
"1276","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the damage and to support private investments through liquidity provision, credit"
"1277","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","guarantees/ moratorium for MSMEs, including through a cut in the repo rate."
"1278","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Fortunately, the inflationary expectations remain well-anchored, and the average"
"1279","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","headline inflation has trended down, with projections for 2025-26 have now been"
"1280","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","revised downwards to 2.6% from 3.7% in the June MPC meeting. The GST reforms"
"1281","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","are also likely to push it down further. Therefore, the benign inflation outlook opens up"
"1282","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","policy space for monetary action. However, we may wish to wait and watch as the"
"1283","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","transmission of the existing actions is still unfolding and to see how the trade policy"
"1284","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","uncertainties play out before considering a rate cut at the December Meeting of the"
"1285","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","MPC. Nevertheless, we may like to signal the readiness of monetary policy to support"
"1286","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the industry, investments and growth by changing the stance from ‘neutral’ to"
"1287","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","‘accommodative.’"
"1288","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1289","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","22. Hence, I vote for keeping the repo rate unchanged at this juncture but feel that the"
"1290","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","stance could be changed to accommodative."
"1291","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1292","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Statement by Shri Saugata Bhattacharya"
"1293","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1294","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","23. Despite the continuing moderation in inflation opening up space for further"
"1295","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","monetary policy easing, the arguments for a pause in my August 2025 statement"
"1296","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","remain materially the same."
"1297","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1298","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","24. Although domestic economic activity remains resilient, trade and tariff uncertainties"
"1299","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","remain a risk to growth and investment. The following line from the MPC resolution"
"1300","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","aptly summarises my position: “The impact of the frontloaded monetary policy actions"
"1301","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","and the recent fiscal measures is still playing out. Trade related uncertainties are still"
"1302","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","unfolding. The MPC therefore considered it prudent to wait for the impact of policy"
"1303","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","actions to play out and greater clarity to emerge before charting the next course of"
"1304","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","action.”"
"1305","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1306","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","25. A moderation in the inflation rate is not a compelling reason, at this point, to cut the"
"1307","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","policy rate. The Monetary Policy Report forecasts an average FY27 inflation of 4.5 per"
"1308","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","cent, with Q1 and Q2 FY27 also at 4.5% and Q3 at 5.1%. This is assuming a normal"
"1309","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","monsoon and no exogenous shocks. In addition, real GDP growth in FY27 is projected"
"1310","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","at a robust 6.6 per cent, following a forecast 6.8 per cent in FY26. The Report notes"
"1311","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","that “domestic economic activity remains resilient and is expected to maintain"
"1312","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","momentum”."
"1313","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1314","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","26. Domestic financial conditions remain easy, largely balanced. On bank credit, I"
"1315","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","should also point to the recent study on banks’ sanctions and disbursement pipeline in"
"1316","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1317","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","                                                      6"
"1318","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1319","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","FY26. While loan sanctions in FY25 have moderated, total projected disbursements in"
"1320","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","FY26 remain robust, with the remaining tranches in H2 expected to boost credit"
"1321","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","growth 1."
"1322","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1323","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","27. The cumulative effects of the multiple, mutually reinforcing, policy stimulus"
"1324","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","measures – fiscal, monetary, financial and banking, trade, investment, regulations, etc."
"1325","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","– which have been progressively rolled out, need to be monitored."
"1326","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1327","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","28. It is also worth re-emphasising that monetary policy has to address multiple, often"
"1328","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","conflicting, objectives and optimise the consequent trade-offs. Given the economic"
"1329","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","conditions described above, at this juncture, I do not see the need for a policy easing."
"1330","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1331","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","29. Hence, taking into account the fluidity of the macro-financial environment, I vote for"
"1332","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","a pause in monetary policy decision on the repo rate and for the same reason I believe"
"1333","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","that stance quo on the stance is appropriate at this point."
"1334","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1335","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Statement by Prof. Ram Singh"
"1336","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1337","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","30. Since the last MPC meeting, the case for another rate cut in this cycle has become"
"1338","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","stronger. However, in view of the fiscal measures and the earlier monetary easing still"
"1339","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","working and the uncertainty on the external front looming large, I vote for a pause in"
"1340","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the policy repo rate. At the same time, I am in favour of a change in stance from"
"1341","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","“neutral” to “accommodative”. Below, I elaborate on my decisions."
"1342","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1343","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","31. CPI headline inflation has continued to surprise on the downside, as it declined to"
"1344","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","2.1 per cent (y-o-y) in August 2025 after registering its eight-year low of 1.6 per cent in"
"1345","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","July. The sharp decline in food inflation from its October 2024 peak has been"
"1346","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","consistent and broad-based. The available indicators and projections signal a"
"1347","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","continuation of the lower price momentum in food prices in the coming months."
"1348","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Accordingly, the CPI inflation for FY 2025-26 has been revised downward to 2.6 per"
"1349","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","cent, with Q3 at 1.8 per cent and Q4 at 4.0 per cent."
"1350","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1351","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","32. Core inflation (excluding food and fuel) has also mainly remained contained in the"
"1352","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","range of 4.1-4.4 per cent in the financial year so far. The print for Core inflation in"
"1353","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","August was 4.2 per cent - excluding precious metals, it was 3.0 per cent."
"1354","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1355","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","33. The inflation trajectory looks benign at least for the next two quarters. Improved"
"1356","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","domestic food supply chain logistics, a good kharif harvest, and above-normal water"
"1357","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","reservoirs bode well for low food inflation in the coming quarters. Crude prices are also"
"1358","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","expected to remain stable, with a downward bias. The CPI inflation may exceed the"
"1359","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","4.0 per cent target in the next fiscal year, as the unfavourable base effect and the"
"1360","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","expected boost in demand take hold. Core inflation is also expected to be elevated but"
"1361","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","contained, as the base effect turns favourable following unusual increases in gold and"
"1362","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","silver prices over the last few months."
"1363","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1364","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","34. The GDP surprised on the upside, registering 7.8 per cent growth in Q1:2025-26 –"
"1365","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","GVA also grew by 7.6 per cent. For Q2, GDP growth also seems to be holding up amid"
"1366","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","mixed signals from some high-frequency indicators."
"1367","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1368","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","35. The GDP growth projection for FY26 is now revised upwards to 6.8 per cent,"
"1369","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","factoring in the unexpectedly high Q1 number along with the demand boost from"
"1370","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","monetary easing and GST rationalisation. Still, compared to the MPC’s February 2025"
"1371","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","growth forecast, the latest H2: 2025-26 growth projections have been revised"
"1372","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1373","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","1 “Private Corporate Investment: Growth in 2024-25 and Outlook for 2025-26”, RBI Monthly Bulletin, August 2025."
"1374","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1375","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","                                                         7"
"1376","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1377","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","downwards indicating some slack in momentum. In February, the forecast for Q3 and"
"1378","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Q4 of FY 26 was 6.5 per cent each, whereas the latest growth forecasts are lower at"
"1379","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","6.4 per cent for Q3 and 6.2 per cent for Q4. Real GDP growth for Q1:2026-27 is"
"1380","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","projected at 6.4 per cent."
"1381","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1382","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","36. The prevailing inflation rate is too low - it is neither conducive for businesses nor"
"1383","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","for public finances. Besides, the downward revisions to the growth forecast of"
"1384","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","H2:2025-26, coming on the heels of a more benign inflationary outlook, make a case"
"1385","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","for an additional growth-supportive interest rate cut. The case is further supported by"
"1386","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the adverse effects of US tariffs and the headwinds from a fluid geopolitical landscape"
"1387","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","and heightened global uncertainties."
"1388","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1389","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","37. The next question to ponder over is what could be the downsides of a further rate"
"1390","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","cut. It may make more challenging for the banks to mobilise deposits to support credit"
"1391","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","growth. 2 But what matters more is the total savings and the flow of funds to the real"
"1392","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","sector, and not just credit through the banking channel. An increasing share of savings"
"1393","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","is being channeled to the private sector through bond and equity markets. 3"
"1394","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1395","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","38. The moderation in aggregate savings rates is a concern from a macroeconomic"
"1396","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","perspective. 4 But interest rates do not seem to be the main driving force of the"
"1397","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","aggregate saving rate. 5 Research suggests that aggregate saving rates are driven by"
"1398","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","several factors, including demographic and other structural changes in the economy,"
"1399","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","differences in the rates of return on different forms of capital, and labour market"
"1400","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","dynamics, including the distribution of wages and income across economic strata. At"
"1401","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the household level, interest rates do matter. But their effects are more pronounced on"
"1402","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","portfolio choices than on total savings. 6 Thus, the likely adverse impact on bank"
"1403","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","deposits and moderation in household savings should not be the reason for not going"
"1404","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","for a further rate cut."
"1405","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1406","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","39. On the external front, the tariffs and financial market-related uncertainties have"
"1407","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","persisted over the last two quarters. It seems the forex market has already priced in"
"1408","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the worst in this regard. Though the exchange rate remains a concern, any pressure"
"1409","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","on the INR is likely to be confined to the short term, given the robust fundamentals of"
"1410","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","the Indian economy, including adequate forex reserves, a comfortable current account"
"1411","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","position 7, and the centre’s commitment to maintaining the fiscal glide path. The"
"1412","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","inclusion of Indian bonds in global indices and improved prospects for gross and net"
"1413","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","FDI are also a source of comfort."
"1414","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1415","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","40. Another concern is our interest rate differential with the U.S. and other major"
"1416","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","economies. The rate cuts by the US Fed, the BoE and the ECB in recent months have"
"1417","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","added some comfort on this count. Markets expects few more rates cuts by the US"
"1418","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","Fed in 2025, which would be further comforting for interest rate differential. 8"
"1419","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1420","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1421","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","2 The rate cut can adversely affect banks’ NIMs and RoAs, ceteris paribus. However, the adverse effects will at"
"1422","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1423","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","least partly be mitigated by the 100 bps CRR cut and other regulatory easing measures for the banking sector."
"1424","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","3 According to the RBI data, the total flow of resources from non-bank sources to the commercial sector increased"
"1425","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1426","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","by ₹2.66 lakh crore in 2025-26 so far, more than offsetting the decline in non-food bank credit."
"1427","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","4 India’s gross domestic savings rate fell from 34.6% of GDP in 2011-12 to 30.7% in FY 24, with a slight uptick in"
"1428","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1429","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","FY25."
"1430","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","5 During 2014-24, (excluding the two Covid years) while the policy rates have varied significantly in the range of"
"1431","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1432","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","7.75%-5.50%, the aggregate saving rates have fluctuated in the range of 29.6% to 32.2%"
"1433","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","6 The RBI’s analysis of household savings a shift away from bank term deposits. The share of term deposits declined"
"1434","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1435","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","from 50.54% in FY20 to 45.77% in FY25, due to households moving to alternative, higher-yielding investments like"
"1436","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","mutual funds and equities."
"1437","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","7 India’s CAD moderated to 0.2 per cent of GDP in Q1:2025-26 as compared with 0.9 per cent of GDP in Q1:2024-"
"1438","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1439","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","25. For FY 26, robust services exports and remittance receipts is expected to keep the CAD in the comfort zone."
"1440","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","8 The S&P Global expects two 25-basis-point rate cuts by the Fed in calendar year 2025, in addition to the 25 pbs"
"1441","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1442","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","cut in September."
"1443","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025",""
"1444","Minutes of the Monetary Policy Committee Meeting, September 29, 30 and October 1, 2025","                                                         8"
